Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:15:38.917 -> 04:15:41,78,-31.977436,115.816322,250000,5,915000000,7,14,-66,-130,10.50,-31.977705,115.816482
12:15:40.425 -> 04:15:43,79,-31.977440,115.816322,250000,5,915000000,7,14,-67,-131,10.00,-31.977705,115.816494
12:15:41.950 -> 04:15:44,80,-31.977446,115.816322,250000,5,915000000,7,14,-66,-130,10.00,-31.977715,115.816485
12:15:43.491 -> 04:15:46,81,-31.977446,115.816322,250000,5,915000000,7,14,-67,-131,10.50,-31.977707,115.816492
12:15:45.030 -> 04:15:48,82,-31.977444,115.816322,250000,5,915000000,7,14,-66,-90,10.00,-31.977715,115.816483
12:15:46.550 -> 04:15:49,83,-31.977440,115.816322,250000,5,915000000,7,14,-67,-130,10.00,-31.977719,115.816487
12:15:48.083 -> 04:15:50,84,-31.977440,115.816322,250000,5,915000000,7,14,-67,-92,9.75,-31.977703,115.816489
12:15:49.621 -> 04:15:52,85,-31.977440,115.816322,250000,5,915000000,7,14,-66,-98,10.25,-31.977719,115.816477
12:15:51.151 -> 04:15:54,86,-31.977440,115.816322,250000,5,915000000,7,14,-65,-98,10.00,-31.977709,115.816483
12:15:52.681 -> 04:15:55,87,-31.977448,115.816322,250000,5,915000000,7,14,-66,-130,9.75,-31.977702,115.816490
12:15:54.209 -> 04:15:57,88,-31.977448,115.816322,250000,5,915000000,7,14,-66,-98,10.00,-31.977705,115.816476
12:15:55.758 -> 04:15:58,89,-31.977470,115.816315,250000,5,915000000,7,14,-66,-130,9.50,-31.977705,115.816476
12:15:57.293 -> 04:16:00,90,-31.977470,115.816315,250000,5,915000000,7,14,-67,-98,10.00,-31.977702,115.816487
12:15:58.793 -> 04:16:01,91,-31.977480,115.816315,250000,5,915000000,7,14,-64,-130,9.75,-31.977715,115.816487
12:16:00.326 -> 04:16:03,92,-31.977480,115.816315,250000,5,915000000,7,14,-64,-94,9.75,-31.977704,115.816494
12:16:01.876 -> 04:16:04,93,-31.977484,115.816307,250000,5,915000000,7,14,-65,-98,10.00,-31.977717,115.816485
12:16:03.383 -> 04:16:06,94,-31.977484,115.816307,250000,5,915000000,7,14,-64,-130,10.25,-31.977704,115.816484
12:16:04.930 -> 04:16:07,95,-31.977491,115.816307,250000,5,915000000,7,14,-64,-130,9.75,-31.977701,115.816491
12:16:06.458 -> 04:16:09,96,-31.977495,115.816307,250000,5,915000000,7,14,-66,-130,10.00,-31.977712,115.816479
12:16:08.003 -> 04:16:11,97,-31.977501,115.816299,250000,5,915000000,7,14,-63,-130,9.75,-31.977704,115.816489
12:16:09.518 -> 04:16:12,98,-31.977505,115.816299,250000,5,915000000,7,14,-65,-130,9.75,-31.977702,115.816492
12:16:11.068 -> 04:16:14,99,-31.977505,115.816299,250000,5,915000000,7,14,-64,-88,9.50,-31.977711,115.816485
12:16:14.581 -> 04:16:15,100,-31.977514,115.816299,250000,5,915000000,7,14,-64,-130,9.75,-31.977707,115.816474
12:16:16.120 -> 04:16:19,101,-31.977510,115.816299,250000,5,915000000,7,10,-65,-100,10.25,-31.977718,115.816482
12:16:17.650 -> 04:16:20,102,-31.977518,115.816292,250000,5,915000000,7,10,-65,-130,9.75,-31.977705,115.816493
12:16:19.188 -> 04:16:22,103,-31.977518,115.816292,250000,5,915000000,7,10,-65,-130,10.00,-31.977702,115.816474
12:16:20.697 -> 04:16:23,104,-31.977535,115.816284,250000,5,915000000,7,10,-65,-130,10.50,-31.977709,115.816480
12:16:22.258 -> 04:16:25,105,-31.977541,115.816284,250000,5,915000000,7,10,-64,-130,10.00,-31.977717,115.816474
12:16:23.767 -> 04:16:26,106,-31.977543,115.816284,250000,5,915000000,7,10,-63,-130,10.25,-31.977701,115.816489
12:16:25.299 -> 04:16:28,107,-31.977543,115.816284,250000,5,915000000,7,10,-63,-130,10.25,-31.977712,115.816481
