Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:20:12.533 -> 04:20:15,92,-31.977436,115.816368,250000,5,915000000,7,14,-64,-98,10.00,-31.977714,115.816487
12:20:14.101 -> 04:20:17,93,-31.977463,115.816376,250000,5,915000000,7,14,-65,-130,9.75,-31.977715,115.816487
12:20:15.596 -> 04:20:18,94,-31.977478,115.816353,250000,5,915000000,7,14,-65,-94,9.50,-31.977715,115.816492
12:20:17.128 -> 04:20:20,95,-31.977478,115.816353,250000,5,915000000,7,14,-64,-130,9.75,-31.977718,115.816489
12:20:18.676 -> 04:20:21,96,-31.977472,115.816360,250000,5,915000000,7,14,-65,-93,10.00,-31.977715,115.816481
12:20:20.186 -> 04:20:23,97,-31.977472,115.816360,250000,5,915000000,7,14,-63,-129,9.75,-31.977705,115.816481
12:20:21.757 -> 04:20:24,98,-31.977484,115.816360,250000,5,915000000,7,14,-65,-130,9.75,-31.977709,115.816489
12:20:23.281 -> 04:20:26,99,-31.977484,115.816360,250000,5,915000000,7,14,-63,-130,9.75,-31.977716,115.816485
12:20:26.794 -> 04:20:27,100,-31.977505,115.816437,250000,5,915000000,7,14,-63,-130,10.00,-31.977706,115.816487
12:20:28.313 -> 04:20:31,101,-31.977505,115.816437,250000,5,915000000,7,10,-64,-98,10.25,-31.977700,115.816485
12:20:29.849 -> 04:20:32,102,-31.977505,115.816460,250000,5,915000000,7,10,-63,-130,9.50,-31.977711,115.816482
12:20:31.378 -> 04:20:34,103,-31.977507,115.816490,250000,5,915000000,7,10,-63,-131,9.75,-31.977719,115.816478
12:20:32.908 -> 04:20:35,104,-31.977482,115.816490,250000,5,915000000,7,10,-63,-130,10.00,-31.977706,115.816492
12:20:34.478 -> 04:20:37,105,-31.977470,115.816490,250000,5,915000000,7,10,-64,-130,10.00,-31.977707,115.816480
12:20:36.004 -> 04:20:38,106,-31.977438,115.816498,250000,5,915000000,7,10,-64,-130,10.00,-31.977707,115.816490
12:20:37.536 -> 04:20:40,107,-31.977442,115.816483,250000,5,915000000,7,10,-64,-98,10.25,-31.977706,115.816485
12:20:39.062 -> 04:20:42,108,-31.977428,115.816452,250000,5,915000000,7,10,-64,-129,10.00,-31.977704,115.816476
12:20:40.561 -> 04:20:43,109,-31.977444,115.816475,250000,5,915000000,7,10,-64,-130,10.25,-31.977717,115.816489
12:20:42.099 -> 04:20:44,110,-31.977449,115.816498,250000,5,915000000,7,10,-63,-96,9.75,-31.977710,115.816482
12:20:43.640 -> 04:20:46,111,-31.977463,115.816505,250000,5,915000000,7,10,-63,-129,10.00,-31.977714,115.816487
12:20:45.169 -> 04:20:48,112,-31.977463,115.816505,250000,5,915000000,7,10,-63,-130,10.25,-31.977701,115.816480
12:20:46.705 -> 04:20:49,113,-31.977440,115.816544,250000,5,915000000,7,10,-64,-129,10.25,-31.977718,115.816491
12:20:48.262 -> 04:20:51,114,-31.977440,115.816544,250000,5,915000000,7,10,-65,-130,10.50,-31.977716,115.816474
12:20:49.774 -> 04:20:52,115,-31.977417,115.816475,250000,5,915000000,7,10,-66,-94,9.75,-31.977717,115.816482
12:20:51.303 -> 04:20:54,116,-31.977417,115.816475,250000,5,915000000,7,10,-64,-129,10.25,-31.977706,115.816487
12:20:52.825 -> 04:20:55,117,-31.977392,115.816345,250000,5,915000000,7,10,-65,-130,10.25,-31.977712,115.816486
12:20:54.356 -> 04:20:57,118,-31.977386,115.816307,250000,5,915000000,7,10,-64,-129,10.00,-31.977705,115.816491
12:20:55.874 -> 04:20:58,119,-31.977381,115.816246,250000,5,915000000,7,10,-64,-99,10.25,-31.977708,115.816491
12:20:57.412 -> 04:21:00,120,-31.977373,115.816231,250000,5,915000000,7,10,-64,-96,9.75,-31.977701,115.816488
12:20:58.932 -> 04:21:01,121,-31.977367,115.816216,250000,5,915000000,7,10,-64,-98,10.25,-31.977718,115.816479
12:21:00.480 -> 04:21:03,122,-31.977373,115.816231,250000,5,915000000,7,10,-64,-129,10.00,-31.977715,115.816478
12:21:02.026 -> 04:21:05,123,-31.977371,115.816261,250000,5,915000000,7,10,-65,-130,9.75,-31.977705,115.816487
12:21:03.544 -> 04:21:06,124,-31.977375,115.816261,250000,5,915000000,7,10,-64,-96,9.75,-31.977705,115.816476
12:21:05.063 -> 04:21:08,125,-31.977367,115.816246,250000,5,915000000,7,10,-64,-130,10.00,-31.977708,115.816488
12:21:06.617 -> 04:21:09,126,-31.977385,115.816238,250000,5,915000000,7,10,-65,-129,10.00,-31.977702,115.816488
12:21:08.127 -> 04:21:11,127,-31.977385,115.816238,250000,5,915000000,7,10,-64,-130,9.75,-31.977705,115.816482
12:21:09.686 -> 04:21:12,128,-31.977406,115.816292,250000,5,915000000,7,10,-65,-98,9.50,-31.977703,115.816478
12:21:11.204 -> 04:21:14,129,-31.977406,115.816292,250000,5,915000000,7,10,-64,-124,10.00,-31.977712,115.816493
12:21:12.715 -> 04:21:15,130,-31.977442,115.816330,250000,5,915000000,7,10,-64,-129,9.75,-31.977712,115.816493
12:21:14.276 -> 04:21:17,131,-31.977442,115.816330,250000,5,915000000,7,10,-65,-130,10.00,-31.977720,115.816485
12:21:15.782 -> 04:21:18,132,-31.977417,115.816315,250000,5,915000000,7,10,-65,-130,12.75,-31.977716,115.816493
12:21:17.325 -> 04:21:20,133,-31.977415,115.816322,250000,5,915000000,7,10,-65,-130,9.75,-31.977708,115.816479
12:21:18.861 -> 04:21:21,134,-31.977383,115.816269,250000,5,915000000,7,10,-64,-129,10.00,-31.977712,115.816476
12:21:20.377 -> 04:21:23,135,-31.977369,115.816231,250000,5,915000000,7,10,-64,-130,10.00,-31.977715,115.816485
12:21:21.919 -> 04:21:24,136,-31.977343,115.816093,250000,5,915000000,7,10,-63,-131,9.50,-31.977702,115.816491
12:21:23.454 -> 04:21:26,137,-31.977325,115.816063,250000,5,915000000,7,10,-63,-98,9.50,-31.977718,115.816488
12:21:24.973 -> 04:21:27,138,-31.977295,115.816002,250000,5,915000000,7,10,-64,-130,9.75,-31.977712,115.816490
12:21:26.489 -> 04:21:29,139,-31.977289,115.815994,250000,5,915000000,7,10,-65,-98,10.25,-31.977702,115.816475
12:21:28.030 -> 04:21:31,140,-31.977261,115.816010,250000,5,915000000,7,10,-66,-130,9.75,-31.977712,115.816484
12:21:29.565 -> 04:21:32,141,-31.977242,115.815971,250000,5,915000000,7,10,-65,-98,10.25,-31.977719,115.816476
12:21:31.122 -> 04:21:34,142,-31.977211,115.815895,250000,5,915000000,7,10,-65,-129,10.25,-31.977703,115.816475
12:21:32.640 -> 04:21:35,143,-31.977222,115.815849,250000,5,915000000,7,10,-65,-130,10.50,-31.977710,115.816475
12:21:34.148 -> 04:21:37,144,-31.977222,115.815849,250000,5,915000000,7,10,-65,-130,10.25,-31.977711,115.816487
12:21:35.687 -> 04:21:38,145,-31.977243,115.815964,250000,5,915000000,7,10,-64,-130,10.00,-31.977714,115.816485
12:21:37.210 -> 04:21:40,146,-31.977243,115.815964,250000,5,915000000,7,10,-63,-98,10.00,-31.977710,115.816488
12:21:38.761 -> 04:21:41,147,-31.977242,115.816093,250000,5,915000000,7,10,-63,-94,9.75,-31.977703,115.816487
12:21:40.278 -> 04:21:43,148,-31.977242,115.816093,250000,5,915000000,7,10,-63,-131,9.75,-31.977717,115.816481
12:21:41.818 -> 04:21:44,149,-31.977222,115.816124,250000,5,915000000,7,10,-64,-98,10.25,-31.977719,115.816480
