Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:25:25.161 -> 04:25:28,106,-31.977188,115.816193,250000,5,915000000,7,10,-82,-128,9.75,-31.977710,115.816474
12:25:26.704 -> 04:25:29,107,-31.977188,115.816193,250000,5,915000000,7,10,-87,-105,9.50,-31.977710,115.816479
12:25:28.218 -> 04:25:31,108,-31.977188,115.816193,250000,5,915000000,7,10,-87,-128,9.75,-31.977708,115.816482
12:25:29.759 -> 04:25:32,109,-31.977188,115.816193,250000,5,915000000,7,10,-87,-110,10.00,-31.977709,115.816483
12:25:31.305 -> 04:25:34,110,-31.977188,115.816193,250000,5,915000000,7,10,-87,-129,9.75,-31.977705,115.816492
12:25:32.829 -> 04:25:35,111,-31.977188,115.816193,250000,5,915000000,7,10,-87,-110,9.75,-31.977714,115.816493
12:25:34.344 -> 04:25:37,112,-31.977188,115.816193,250000,5,915000000,7,10,-87,-111,6.50,-31.977707,115.816477
12:25:35.891 -> 04:25:38,113,-31.977188,115.816193,250000,5,915000000,7,10,-86,-128,9.75,-31.977715,115.816491
12:25:37.403 -> 04:25:40,114,-31.977188,115.816193,250000,5,915000000,7,10,-88,-128,9.50,-31.977705,115.816482
12:25:38.943 -> 04:25:41,115,-31.977188,115.816185,250000,5,915000000,7,10,-87,-129,7.25,-31.977714,115.816485
12:25:40.461 -> 04:25:43,116,-31.977188,115.816185,250000,5,915000000,7,10,-87,-128,9.75,-31.977709,115.816485
12:25:42.018 -> 04:25:44,117,-31.977188,115.816185,250000,5,915000000,7,10,-88,-108,10.25,-31.977705,115.816477
12:25:43.540 -> 04:25:46,118,-31.977190,115.816185,250000,5,915000000,7,10,-87,-130,10.00,-31.977708,115.816489
12:25:45.085 -> 04:25:48,119,-31.977188,115.816185,250000,5,915000000,7,10,-86,-104,9.75,-31.977719,115.816494
12:25:46.598 -> 04:25:49,120,-31.977190,115.816185,250000,5,915000000,7,10,-86,-128,10.50,-31.977707,115.816487
12:25:48.138 -> 04:25:50,121,-31.977190,115.816185,250000,5,915000000,7,10,-86,-110,10.50,-31.977709,115.816483
12:25:49.650 -> 04:25:52,122,-31.977190,115.816185,250000,5,915000000,7,10,-87,-129,10.25,-31.977703,115.816481
12:25:51.175 -> 04:25:54,123,-31.977190,115.816185,250000,5,915000000,7,10,-87,-131,10.00,-31.977710,115.816482
12:25:52.720 -> 04:25:55,124,-31.977190,115.816185,250000,5,915000000,7,10,-87,-130,9.75,-31.977719,115.816483
12:25:54.245 -> 04:25:57,125,-31.977190,115.816185,250000,5,915000000,7,10,-88,-108,9.75,-31.977710,115.816474
